164|13|43|0|130,1446730249.61
167|202|50|59|100,1446730252.8
167|202|50|59|100,1446730253.14
167|202|50|59|100,1446730253.5
167|202|50|59|100,1446730253.85
167|202|50|59|100,1446730254.19
167|202|50|59|100,1446730254.54
180|183|142|185|52,1446730264.96
167|202|50|59|100,1446730504.63
167|202|50|59|100,1446730506.9
167|202|50|59|100,1446730507.22
180|183|142|185|52,1446730511.41
167|202|50|59|100,1446731366.29
167|202|50|59|100,1446731381.91
167|202|50|59|100,1446731469.19
167|202|50|59|100,1446731564.59
167|202|50|59|100,1446731565.31
167|202|50|59|100,1446731566.07
167|202|50|59|100,1446731567.64
167|202|50|59|100,1446731567.98
167|202|50|59|100,1446731568.31
167|202|50|59|100,1446731569.13
167|202|50|59|100,1446731569.24
167|202|50|59|100,1446731569.6
167|202|50|59|100,1446731571.19
167|202|50|59|100,1446731571.54
167|202|50|59|100,1446731571.87
167|202|50|59|100,1446731572.21
167|202|50|59|100,1446731572.54
167|202|50|59|100,1446731623.84
167|202|50|59|100,1446731825.52
167|202|50|59|100,1446731830.81
180|183|142|185|52,1446731836.12
180|183|142|185|52,1446731888.72
180|183|142|185|52,1446731897.15
180|183|142|185|52,1446731992.87
180|183|142|185|52,1446732066.28
180|183|142|185|52,1446732189.73
180|183|142|185|52,1446732213.59
180|183|142|185|52,1446732213.94
180|183|142|185|52,1446732214.29
180|183|142|185|52,1446732214.62
167|202|50|59|100,1446732216.18
164|13|43|0|130,1446732471.22
164|13|43|0|130,1446732490.3
167|202|50|59|100,1446732493.49
167|202|50|59|100,1446732504.59
